I	O	O	O	O	
.	O	O	O	O	

Ritta	O	O	O	O	
,	O	O	O	O	
immobile	O	O	O	O	
dinanzi	O	O	O	O	
al	O	O	O	O	
grande	O	O	O	O	
specchio	O	O	O	O	
a	O	O	O	O	
tre	O	O	O	O	
comparti	O	O	O	O	
,	O	O	O	O	
Marina	B-PER	O	O	O	
Negroni	I-PER	O	O	O	
aveva	O	O	O	O	
testè	O	O	O	O	
compiuta	O	O	O	O	
la	O	O	O	O	
sua	O	O	O	O	
elegante	O	O	O	O	
acconciatura	O	O	O	O	
di	O	O	O	O	
passeggio	O	O	O	O	
.	O	O	O	O	

Ma	O	O	O	O	
la	B-PER	O	O	O	
giovane	I-PER	O	O	O	
si	O	O	O	O	
indugiava	O	O	O	O	
,	O	O	O	O	
pensosa	O	O	O	O	
,	O	O	O	O	
dinanzi	O	O	O	O	
alla	O	O	O	O	
propria	O	O	O	O	
immagine	O	O	O	O	
.	O	O	O	O	

Sul	O	O	O	O	
volto	O	O	O	O	
suo	O	O	O	O	
,	O	O	O	O	
nessuna	O	O	O	O	
traccia	O	O	O	O	
di	O	O	O	O	
vanità	O	O	O	O	
,	O	O	O	O	
nè	O	O	O	O	
di	O	O	O	O	
compiacenza	O	O	O	O	
intima	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
il	O	O	O	O	
sorriso	O	O	O	O	
trionfante	O	O	O	O	
della	O	O	O	O	
bellezza	O	O	O	O	
che	O	O	O	O	
si	O	O	O	O	
ravvisa	O	O	O	O	
.	O	O	O	O	

Pure	O	O	O	O	
,	O	O	O	O	
ell	O	O	O	O	
'	O	O	O	O	
era	O	O	O	O	
bellissima	O	O	O	O	
,	O	O	O	O	
Marina	B-PER	O	O	O	
Negroni	I-PER	O	O	O	
.	O	O	O	O	

Alta	O	O	O	O	
,	O	O	O	O	
di	O	O	O	O	
forme	O	O	O	O	
decise	O	O	O	O	
,	O	O	O	O	
tendenti	O	O	O	O	
alla	O	O	O	O	
maestà	O	O	O	O	
del	O	O	O	O	
tipo	O	O	O	O	
giunonico	O	O	O	O	
.	O	O	O	O	

Bionda	B-PER	O	O	O	
,	I-PER	O	O	O	
d	I-PER	O	O	O	
'	I-PER	O	O	O	
un	I-PER	O	O	O	
biondo	I-PER	O	O	O	
acceso	I-PER	O	O	O	
,	O	O	O	O	
quasi	O	O	O	O	
fulvo	O	O	O	O	
.	O	O	O	O	

Fattezze	O	O	O	O	
armoniche	O	O	O	O	
,	O	O	O	O	
regolarissime	O	O	O	O	
,	O	O	O	O	
un	O	O	O	O	
bello	O	O	O	O	
palese	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
mutevole	O	O	O	O	
,	O	O	O	O	
invariabilmente	O	O	O	O	
sereno	O	O	O	O	
.	O	O	O	O	

Se	O	O	O	O	
Marina	B-PER	O	O	O	
avesse	O	O	O	O	
