I	O	O	
.	O	O	

Rinaldo	B-PER	O	
a	O	O	
Filippo	B-PER	O	
.	O	O	

Corsenna	B-GPE	O	
,	O	O	
7	O	O	
luglio	O	O	
18	O	O	
...	O	O	
Notizie	O	O	
mie	O	O	
?	O	O	

Eccole	O	O	
.	O	O	

Son	O	O	
venuto	O	O	
qua	O	O	
,	O	O	
come	O	O	
sai	O	O	
,	O	O	
per	O	O	
dar	O	O	
pace	O	O	
a	O	O	
questi	O	O	
poveri	O	O	
nervi	O	O	
;	O	O	
e	O	O	
ci	O	O	
lavoro	O	O	
alacremente	O	O	
,	O	O	
chiudendomi	O	O	
nell	O	O	
'	O	O	
inerzia	O	O	
più	O	O	
fitta	O	O	
.	O	O	

Bada	O	O	
,	O	O	
io	O	O	
non	O	O	
so	O	O	
quanto	O	O	
sia	O	O	
vero	O	O	
che	O	O	
ai	O	O	
giorni	O	O	
nostri	O	O	
i	O	O	
nervi	O	O	
si	O	O	
sciupino	O	O	
più	O	O	
di	O	O	
prima	O	O	
,	O	O	
nella	O	O	
gran	O	O	
varietà	O	O	
e	O	O	
nella	O	O	
troppa	O	O	
intensità	O	O	
delle	O	O	
sensazioni	O	O	
:	O	O	
ma	O	O	
è	O	O	
certo	O	O	
che	O	O	
oggi	O	O	
come	O	O	
prima	O	O	
lo	O	O	
strapazzo	O	O	
nuoce	O	O	
ad	O	O	
ogni	O	O	
organismo	O	O	
,	O	O	
e	O	O	
certissimo	O	O	
poi	O	O	
che	O	O	
il	B-PER	O	
tuo	I-PER	O	
vecchio	I-PER	O	
amico	I-PER	O	
aveva	O	O	
bisogno	O	O	
di	O	O	
questo	O	O	
riposo	O	O	
;	O	O	
tanto	O	O	
gli	O	O	
pare	O	O	
d	O	O	
'	O	O	
esser	O	O	
tuttavia	O	O	
sfiaccolato	O	O	
.	O	O	

Pure	O	O	
non	O	O	
faccio	O	O	
nulla	O	O	
,	O	O	
assolutamente	O	O	
nulla	O	O	
;	O	O	
questa	O	O	
lettera	O	O	
,	O	O	
che	O	O	
viene	O	O	
un	O	O	
po	O	O	
'	O	O	
tardi	O	O	
in	O	O	
risposta	O	O	
al	O	O	
tuo	O	O	
cortese	O	O	
biglietto	O	O	
,	O	O	
è	O	O	
la	O	O	
prima	O	O	
fatica	O	O	
dopo	O	O	
un	O	O	
mese	O	O	
di	O	O	
quiete	O	O	
.	O	O	

Già	O	O	
,	O	O	
non	O	O	
potrei	O	O	
far	O	O	
nulla	O	O	
,	O	O	
anche	O	O	
volendo	O	O	
.	O	O	

Non	O	O	
sento	O	O	
più	O	O	
;	O	O	
e	O	O	
se	O	O	
,	O	O	
come	O	O	
dice	O	O	
il	B-PER	O	
filosofo	I-PER	O	
,	O	O	
niente	O	O	
può	O	O	
essere	O	O	
nell	O	O	
'	O	O	
intelletto	O	O	
che	O	O	
non	O	O	
sia	O	O	
stato	O	O	
prima	O	O	
nel	O	O	
senso	O	O	
,	O	O	
io	O	O	
posso	O	O	
stimarmi	O	O	
finito	O	O	
,	O	O	
e	O	O	
metter	O	O	
magari	O	O	
l	O	O	
'	O	O	
appigionasi	O	O	
in	O	O	
fronte	O	O	
,	O	O	
come	O	O	
sulla	O	O	
facciata	O	O	
d	B-FAC	O	
'	I-FAC	O	
una	I-FAC	O	
casa	I-FAC	O	
vuota	I-FAC	O	
.	O	O	

Che	O	O	
bella	O	O	
cosa	O	O	
,	O	O	
dopo	O	O	
tutto	O	O	
,	O	O	
non	O	O	
sentir	O	O	
nulla	O	O	
;	O	O	
esser	O	O	
libero	O	O	
e	O	O	
netto	O	O	
d	O	O	
'	O	O	
ogni	O	O	
cura	O	O	
del	O	O	
mondo	O	O	
circostante	O	O	
;	O	O	
udendo	O	O	
senza	O	O	
commuoversi	O	O	
,	O	O	
vedendo	O	O	
senza	O	O	
partecipare	O	O	
,	O	O	
vivendo	O	O	
la	O	O	
vita	O	O	
dello	O	O	
specchio	O	O	
,	O	O	
che	O	O	
riflette	O	O	
tranquillamente	O	O	
ogni	O	O	
cosa	O	O	
e	O	O	
sorride	O	O	
!	O	O	

Ma	O	O	
sì	O	O	
,	O	O	
un	O	O	
po	O	O	
'	O	O	
d	O	O	
'	O	O	
ironia	O	O	
nel	O	O	
fondo	O	O	
ce	O	O	
la	O	O	
dovrebbe	O	O	
avere	O	O	
anche	O	O	
lui	O	O	
;	O	O	
per	O	O	
virtù	O	O	
,	O	O	
non	O	O	
foss	O	O	
'	O	O	
altro	O	O	
,	O	O	
degl	O	O	
'	O	O	
ingredienti	O	O	
che	O	O	
lo	O	O	
rendono	O	O	
opaco	O	O	
.	O	O	

Quel	O	O	
po	O	O	
'	O	O	
d	O	O	
'	O	O	
ironia	O	O	
non	O	O	
è	O	O	
finalmente	O	O	
la	O	O	
meno	O	O	
feroce	O	O	
delle	O	O	
nostre	O	O	
vendette	O	O	
?	O	O	

e	O	O	
il	B-PER	O	
genere	I-PER	O	
umano	I-PER	O	
,	O	O	
salva	O	O	
sempre	O	O	
la	O	O	
immagine	O	O	
del	O	O	
suo	B-PER	O	
creatore	I-PER	O	
,	O	O	
non	O	O	
meriterebbe	O	O	
di	O	O	
peggio	O	O	
?	O	O	

"	O	O	
Ama	O	O	
il	B-PER	O	
prossimo	I-PER	O	
tuo	I-PER	O	
come	O	O	
te	O	O	
stesso	O	O	
"	O	O	
è	O	O	
alla	O	O	
fin	O	O	
fine	O	O	
il	O	O	
comando	O	O	
del	O	O	
principale	O	O	
:	O	O	
ed	O	O	
egli	O	O	
sa	O	O	
bene	O	O	
che	O	O	
io	O	O	
non	O	O	
amo	O	O	
me	O	O	
stesso	O	O	
.	O	O	

Frattanto	O	O	
,	O	O	
come	O	O	
è	O	O	
vero	O	O	
che	O	O	
quello	O	O	
è	O	O	
il	B-PER	O	
mio	I-PER	O	
prossimo	I-PER	O	
!	O	O	

Io	O	O	
l	O	O	
'	O	O	
ho	O	O	
sempre	O	O	
sentito	O	O	
dal	O	O	
premere	O	O	
che	O	O	
mi	O	O	
faceva	O	O	
d	O	O	
'	O	O	
attorno	O	O	
,	O	O	
pari	O	O	
ai	O	O	
gomiti	O	O	
di	O	O	
quattro	O	O	
o	O	O	
cinque	O	O	
vicini	O	O	
nella	O	O	
calca	O	O	
dove	O	O	
ci	O	O	
ha	O	O	
ficcati	O	O	
il	O	O	
nostro	O	O	
mal	O	O	
genio	O	O	
,	O	O	
in	O	O	
un	O	O	
quarto	O	O	
d	O	O	
'	O	O	
ora	O	O	
di	O	O	
sciocca	O	O	
curiosità	O	O	
.	O	O	

E	O	O	
il	O	O	
mondo	O	O	
è	O	O	
una	O	O	
calca	O	O	
,	O	O	
una	O	O	
moltitudine	O	O	
,	O	O	
una	O	O	
ressa	O	O	
di	O	O	
forze	O	O	
invisibili	O	O	
,	O	O	
che	O	O	
d	O	O	
'	O	O	
ogni	O	O	
parte	O	O	
lavorano	O	O	
su	O	O	
te	O	O	
,	O	O	
per	O	O	
prenderti	O	O	
il	O	O	
posto	O	O	
che	O	O	
occupi	O	O	
,	O	O	
per	O	O	
non	O	O	
lasciarti	O	O	
occupare	O	O	
il	O	O	
posto	O	O	
che	O	O	
desideri	O	O	
,	O	O	
fosse	O	O	
pure	O	O	
un	O	O	
posto	O	O	
d	B-PER	O	
'	I-PER	O	
usciere	I-PER	O	
.	O	O	

Si	O	O	
tira	O	O	
a	O	O	
tutto	O	O	
,	O	O	
e	O	O	
con	O	O	
la	O	O	
stessa	O	O	
arte	O	O	
da	O	O	
tutti	B-PER	O	
;	O	O	
qualunque	O	O	
sia	O	O	
il	O	O	
grado	O	O	
,	O	O	
o	O	O	
l	O	O	
'	O	O	
educazione	O	O	
,	O	O	
è	O	O	
sempre	O	O	
guerra	O	O	
sorda	O	O	
di	O	O	
agguati	O	O	
,	O	O	
d	O	O	
'	O	O	
insidie	O	O	
,	O	O	
di	O	O	
tradimenti	O	O	
.	O	O	

Ognuno	B-PER	O	
l	O	O	
'	O	O	
ha	O	O	
con	O	O	
te	O	O	
:	O	O	
più	O	O	
sei	O	O	
forte	O	O	
,	O	O	
o	O	O	
più	O	O	
ti	O	O	
credono	O	O	
tale	O	O	
,	O	O	
più	O	O	
si	O	O	
affannano	O	O	
a	O	O	
soverchiarti	O	O	
,	O	O	
a	O	O	
tirarti	O	O	
giù	O	O	
,	O	O	
a	O	O	
darti	O	O	
il	O	O	
gambetto	O	O	
.	O	O	

Gl	O	O	
'	O	O	
interessi	O	O	
che	O	O	
non	O	O	
hai	O	O	
offesi	O	O	
fischiano	O	O	
da	O	O	
tutti	O	O	
i	O	O	
pruneti	O	O	
,	O	O	
si	O	O	
avventano	O	O	
da	O	O	
tutte	O	O	
le	O	O	
macchie	O	O	
;	O	O	
nessun	B-PER	O	
briccone	I-PER	O	
è	O	O	
più	O	O	
appostato	O	O	
di	O	O	
te	O	O	
dagli	O	O	
onest	B-PER	O	
'	I-PER	O	
uomini	I-PER	O	
in	I-PER	O	
