Pietro	B-PER	O	O	O	
Borgagli	I-PER	O	O	O	
osservava	O	O	O	O	
con	O	O	O	O	
crescente	O	O	O	O	
terrore	O	O	O	O	
la	O	O	O	O	
rapida	O	O	O	O	
trasformazione	O	O	O	O	
che	O	O	O	O	
avveniva	O	O	O	O	
in	O	O	O	O	
sua	B-PER	O	O	O	
moglie	I-PER	O	O	O	
.	O	O	O	O	

Ai	O	O	O	O	
primi	O	O	O	O	
sintomi	O	O	O	O	
della	O	O	O	O	
strana	O	O	O	O	
gelosia	O	O	O	O	
egli	O	O	O	O	
aveva	O	O	O	O	
sorriso	O	O	O	O	
.	O	O	O	O	

Da	O	O	O	O	
qualche	O	O	O	O	
mese	O	O	O	O	
in	O	O	O	O	
qua	O	O	O	O	
però	O	O	O	O	
la	B-PER	O	O	O	
sua	I-PER	O	O	O	
Diana	I-PER	O	O	O	
andava	O	O	O	O	
insolitamente	O	O	O	O	
a	O	O	O	O	
sedersi	O	O	O	O	
su	O	O	O	O	
una	O	O	O	O	
poltrona	O	O	O	O	
a	O	O	O	O	
dondolo	O	O	O	O	
in	O	O	O	O	
quello	B-FAC	O	O	O	
studio	I-FAC	O	O	O	
che	O	O	O	O	
non	O	O	O	O	
sembrava	O	O	O	O	
stanza	B-FAC	O	O	O	
di	I-FAC	O	O	O	
raccoglimento	I-FAC	O	O	O	
e	I-FAC	O	O	O	
di	I-FAC	O	O	O	
lavoro	I-FAC	O	O	O	
per	O	O	O	O	
uno	B-PER	O	O	O	
scrittore	I-PER	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
piccola	O	B-FAC	O	O	
serra	O	I-FAC	O	O	
di	O	I-FAC	O	O	
piante	O	I-FAC	O	O	
da	O	I-FAC	O	O	
salotto	B-FAC	I-FAC	O	O	
e	O	I-FAC	O	O	
di	O	I-FAC	O	O	
vasi	O	I-FAC	O	O	
da	O	I-FAC	O	O	
fiori	O	I-FAC	O	O	
;	O	O	O	O	
e	O	O	O	O	
là	O	O	O	O	
ella	O	O	O	O	
faceva	O	O	O	O	
sembiante	O	O	O	O	
di	O	O	O	O	
svagarsi	O	O	O	O	
a	O	O	O	O	
leggere	O	O	O	O	
.	O	O	O	O	

A	O	O	O	O	
traverso	O	O	O	O	
le	O	O	O	O	
foglie	O	O	O	O	
del	O	O	O	O	
bambù	O	O	O	O	
che	O	O	O	O	
nascondeva	O	O	O	O	
un	O	O	O	O	
po	O	O	O	O	
'	O	O	O	O	
la	O	O	O	O	
poltrona	O	O	O	O	
,	O	O	O	O	
alzando	O	O	O	O	
gli	O	O	O	O	
occhi	O	O	O	O	
dalle	O	O	O	O	
pagine	O	O	O	O	
già	O	O	O	O	
riempite	O	O	O	O	
di	O	O	O	O	
grossa	O	O	O	O	
nervosa	O	O	O	O	
scrittura	O	O	O	O	
,	O	O	O	O	
egli	O	O	O	O	
sorprendeva	O	O	O	O	
spesso	O	O	O	O	
la	B-PER	O	O	O	
moglie	I-PER	O	O	O	
fissamente	O	O	O	O	
intenta	O	O	O	O	
a	O	O	O	O	
guardarlo	O	O	O	O	
sotto	O	O	O	O	
le	O	O	O	O	
sopracciglia	O	O	O	O	
corrugate	O	O	O	O	
per	O	O	O	O	
lo	O	O	O	O	
sforzo	O	O	O	O	
,	O	O	O	O	
pareva	O	O	O	O	
,	O	O	O	O	
di	O	O	O	O	
voler	O	O	O	O	
vederci	O	O	O	O	
meglio	O	O	O	O	
.	O	O	O	O	

Gli	O	O	O	O	
sembrava	O	O	O	O	
impossibile	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
ella	O	O	O	O	
si	O	O	O	O	
sentisse	O	O	O	O	
invadere	O	O	O	O	
da	O	O	O	O	
inesplicabile	O	O	O	O	
